source_file,median_last_10_years,median_first_10_years,difference
SH_MTX252145001.csv,16.0,15.4,0.5999999999999996
SH_MTX252197003.csv,14.9,14.2,0.7000000000000011
SH_MTX254526001.csv,15.8,15.0,0.8000000000000007
SH_MTX255179001.csv,14.6,14.05,0.5499999999999989
SH_MTX256069001.csv,15.8,14.8,1.0
SH_MTX257039001.csv,15.6,14.7,0.9000000000000004
SH_MTX258062001.csv,14.7,13.9,0.7999999999999989
SH_MTX258160001.csv,16.9,16.15,0.75
SH_MTX260639001.csv,15.8,14.9,0.9000000000000004
SH_MTX262298001.csv,15.4,14.5,0.9000000000000004
SH_MTX262826001.csv,15.3,14.0,1.3000000000000007
SH_MTX263113001.csv,16.9,16.4,0.5
SH_MTX264024001.csv,18.4,17.8,0.5999999999999979
SH_MTX264549001.csv,19.1,18.15,0.9500000000000028
SH_MTX266136001.csv,20.2,19.4,0.8000000000000007
SH_MTX268066001.csv,17.0,15.9,1.0999999999999996
SH_MTX268205001.csv,17.3,16.0,1.3000000000000007
SH_MTX268224006.csv,16.6,15.25,1.3500000000000014
SH_MTX268297001.csv,16.7,15.4,1.299999999999999
SH_MTX269029001.csv,17.7,16.9,0.8000000000000007
SH_MTX269141001.csv,18.2,17.1,1.0999999999999979
SH_MTX269204002.csv,17.8,16.8,1.0
SH_MTX270006001.csv,16.5,15.5,1.0
SH_MTX270165001.csv,16.1,15.6,0.5000000000000018
SH_MTX270473001.csv,16.2,15.6,0.5999999999999996
SH_MTX272181001.csv,17.4,16.3,1.0999999999999979
SH_MTX276217001.csv,14.9,13.1,1.8000000000000007
SH_MTX276259001.csv,14.4,12.850000000000001,1.549999999999999
SH_MTX277186002.csv,17.1,16.1,1.0
SH_MTX277306001.csv,16.7,15.8,0.8999999999999986
SH_MTX279191005.csv,17.8,16.7,1.1000000000000014
SH_MTX280379002.csv,15.7,14.7,1.0
SH_MTX282121002.csv,20.1,18.45,1.6500000000000021
SH_MTX284087001.csv,20.1,19.2,0.9000000000000021
SH_MTX285051001.csv,18.5,17.3,1.1999999999999993
SH_MTX285216001.csv,18.1,16.9,1.2000000000000028
SH_MTX289387002.csv,17.0,16.1,0.8999999999999986
SH_MTX291027002.csv,16.5,15.7,0.8000000000000007
SH_MTX291103001.csv,16.8,15.8,1.0
SH_MTX295078001.csv,16.2,15.2,1.0
SH_MTX303060001.csv,17.1,16.5,0.6000000000000014
SH_MTX314137001.csv,15.5,14.3,1.1999999999999993
SH_MTX317323001.csv,16.2,15.1,1.0999999999999996
SH_MTX321154001.csv,15.8,15.3,0.5
SH_MTX321473001.csv,16.4,15.55,0.8499999999999979
SH_MTX325056001.csv,15.9,15.350000000000001,0.5499999999999989
SH_MTX328070001.csv,16.3,15.4,0.9000000000000004
SH_MTX331069001.csv,19.4,17.95,1.4499999999999993
SH_MTX332013005.csv,19.5,18.2,1.3000000000000007
SH_MTX336063001.csv,17.1,16.25,0.8500000000000014
SH_MTX345055001.csv,16.6,15.7,0.9000000000000021
SH_MTX352269001.csv,14.2,13.6,0.5999999999999996
SH_MTX357168001.csv,14.4,13.3,1.0999999999999996
SH_MTX367124001.csv,16.9,15.8,1.0999999999999979
SH_MTX367482001.csv,16.5,15.45,1.0500000000000007
SH_MTX376552001.csv,14.9,13.350000000000001,1.549999999999999
SH_MTX378621001.csv,15.5,14.8,0.6999999999999993
SH_MTX378640001.csv,15.5,14.7,0.8000000000000007
SH_MTX380001001.csv,15.4,14.2,1.200000000000001
SH_MTX386027001.csv,17.1,16.3,0.8000000000000007
SH_MTX394068001.csv,18.1,16.9,1.2000000000000028
SH_MTX395088001.csv,16.6,15.75,0.8500000000000014
SH_MTX418033001.csv,17.1,16.2,0.9000000000000021
SH_MTX459183001.csv,14.8,13.05,1.75
SH_MTX459343001.csv,15.7,14.6,1.0999999999999996
SH_MTX462160001.csv,14.2,12.8,1.3999999999999986
SH_MTX475114001.csv,16.9,16.0,0.8999999999999986
